Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.8,0.31,0.44,0.54,0.23,0.6
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.8,0.31,0.44,0.54,0.23,0.6
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.62,0.84,0.72,0.58,-0.02,0.49
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.73,0.13,0.22,0.44,0.09,0.53
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.73,0.13,0.22,0.44,0.09,0.53
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,1,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,2,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,3,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,4,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,5,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,6,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,7,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,8,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,9,0.46,0.3,0.36,0.75,0.23,0.6
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,1,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,2,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,3,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,4,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,5,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,6,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,7,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,8,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,9,0.51,0.18,0.27,0.67,0.13,0.55
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.0,0.0,0.0,0.98,-0.01,0.5
