Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.69,0.51,0.59,0.57,0.17,0.59
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.69,0.51,0.59,0.57,0.17,0.59
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.54,0.98,0.69,0.53,-0.1,0.49
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.73,0.06,0.12,0.54,0.1,0.52
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.73,0.06,0.12,0.54,0.1,0.52
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,0,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,1,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,2,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,3,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,4,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,5,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,6,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,7,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,8,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,ant,ant-1.3.csv,ant-1.4.csv,9,0.29,0.3,0.29,0.68,0.09,0.54
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,1,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,2,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,3,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,4,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,5,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,6,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,7,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,8,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,9,0.96,0.11,0.19,0.46,0.2,0.55
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,3,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,4,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,5,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,6,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,7,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,8,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,9,0.26,0.95,0.4,0.32,0.1,0.54
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,5,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,6,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,7,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,8,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,9,0.76,0.51,0.61,0.78,0.49,0.72
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,1,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,2,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,3,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,4,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,5,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,6,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,7,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.74,0.34,0.47,0.53,0.18,0.58
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.53,0.93,0.67,0.51,-0.14,0.47
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.62,0.14,0.23,0.55,0.1,0.53
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.62,0.14,0.23,0.55,0.1,0.53
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,0,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,1,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,2,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,3,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,4,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,5,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,6,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,7,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,8,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,ant,ant-1.3.csv,ant-1.4.csv,9,0.33,0.07,0.12,0.76,0.06,0.52
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,0,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,1,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,2,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,3,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,4,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,5,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,6,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,7,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,8,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,camel,camel-1.0.csv,camel-1.2.csv,9,1.0,0.01,0.02,0.41,0.06,0.5
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,1,0.46,0.42,0.44,0.74,0.27,0.63
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,2,0.46,0.42,0.44,0.74,0.27,0.63
