Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,8,0.71,0.36,0.48,0.53,0.15,0.57
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,9,0.71,0.36,0.48,0.53,0.15,0.57
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.66,0.81,0.72,0.58,-0.15,0.44
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.67,0.06,0.1,0.38,0.01,0.5
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.67,0.06,0.1,0.38,0.01,0.5
