Defect models,pair,Iterations,Precision,Recall,F1 Score,ACC,MCC,AUC
MLMNB,0,0,0.61,0.62,0.62,0.8,0.48,0.74
MLMNB,1,0,0.38,0.72,0.5,0.62,0.27,0.65
MLMNB,2,0,0.32,0.51,0.4,0.66,0.18,0.6
MLMNB,3,0,0.46,0.6,0.52,0.75,0.36,0.7
MLMNB,4,0,0.3,0.45,0.36,0.74,0.21,0.62
MLMNB,5,0,0.48,0.19,0.27,0.75,0.18,0.56
MLMNB,6,0,0.57,0.33,0.42,0.77,0.31,0.63
MLMNB,7,0,0.4,0.65,0.49,0.55,0.14,0.57
MLMNB,8,0,0.63,0.33,0.43,0.49,0.06,0.53
MLMNB,9,0,0.73,0.4,0.52,0.57,0.21,0.6
MLMNB,10,0,0.5,0.51,0.51,0.52,0.04,0.52
MLMNB,11,0,0.52,0.43,0.47,0.54,0.07,0.53
MLMNB,12,0,0.29,0.43,0.35,0.75,0.21,0.62
MLMNB,13,0,0.28,0.28,0.28,0.78,0.15,0.57
MLMNB,14,0,0.16,0.8,0.27,0.51,0.18,0.64
MLMNB,15,0,0.21,0.75,0.32,0.64,0.25,0.69
MLMNB,16,0,0.35,0.33,0.34,0.65,0.11,0.55
MLMNB,17,0,0.31,0.38,0.34,0.6,0.06,0.53
MLMNB,18,0,0.62,0.4,0.48,0.71,0.31,0.64
MLMNB,19,0,0.42,0.63,0.5,0.58,0.18,0.59
MLMNB,20,0,0.89,0.52,0.66,0.66,0.41,0.71
MLMNB,21,0,0.94,0.43,0.59,0.62,0.4,0.69
MLMNB,22,0,0.71,0.28,0.4,0.46,0.08,0.54
MLMNB,23,0,0.73,0.3,0.42,0.48,0.11,0.55
MNB,0,0,0.6,0.13,0.21,0.75,0.19,0.55
MNB,1,0,0.58,0.41,0.48,0.77,0.34,0.65
MNB,2,0,0.43,0.23,0.3,0.76,0.18,0.57
MNB,3,0,0.42,0.3,0.35,0.75,0.2,0.59
MNB,4,0,0.31,0.35,0.33,0.76,0.19,0.6
MNB,5,0,0.5,0.12,0.19,0.75,0.15,0.54
MNB,6,0,0.6,0.08,0.14,0.76,0.15,0.53
MNB,7,0,0.49,0.46,0.47,0.65,0.21,0.6
MNB,8,0,0.95,0.15,0.25,0.5,0.24,0.57
MNB,9,0,0.72,0.25,0.37,0.51,0.14,0.56
MNB,10,0,0.53,0.26,0.35,0.53,0.05,0.52
MNB,11,0,0.56,0.13,0.21,0.53,0.06,0.52
MNB,12,0,0.12,0.26,0.16,0.59,-0.07,0.45
MNB,13,0,0.25,0.29,0.27,0.76,0.12,0.57
MNB,14,0,0.4,0.15,0.22,0.88,0.19,0.56
MNB,15,0,0.23,0.57,0.33,0.73,0.23,0.66
MNB,16,0,0.4,0.03,0.06,0.73,0.04,0.51
MNB,17,0,0.53,0.13,0.21,0.73,0.16,0.55
MNB,18,0,0.45,0.06,0.1,0.66,0.05,0.51
MNB,19,0,0.39,0.1,0.17,0.64,0.04,0.51
MNB,20,0,0.79,0.54,0.64,0.61,0.27,0.64
MNB,21,0,0.81,0.37,0.51,0.55,0.23,0.61
MNB,22,0,0.87,0.63,0.73,0.7,0.44,0.73
MNB,23,0,0.88,0.51,0.65,0.64,0.38,0.69
LogisticRegression,0,0,0.59,0.47,0.52,0.77,0.38,0.68
LogisticRegression,1,0,0.42,0.73,0.53,0.66,0.33,0.68
LogisticRegression,2,0,0.4,0.68,0.51,0.7,0.34,0.7
LogisticRegression,3,0,0.52,0.27,0.36,0.78,0.26,0.6
LogisticRegression,4,0,0.26,0.16,0.2,0.78,0.08,0.53
LogisticRegression,5,0,0.88,0.09,0.17,0.77,0.24,0.54
LogisticRegression,6,0,0.11,0.01,0.02,0.73,-0.05,0.49
LogisticRegression,7,0,0.41,0.86,0.56,0.53,0.24,0.61
LogisticRegression,8,0,0.7,0.23,0.35,0.49,0.12,0.55
LogisticRegression,9,0,0.66,0.41,0.51,0.53,0.12,0.56
LogisticRegression,10,0,0.53,0.71,0.61,0.56,0.13,0.56
LogisticRegression,11,0,0.52,0.26,0.34,0.53,0.05,0.52
LogisticRegression,12,0,0.31,0.45,0.37,0.77,0.24,0.64
LogisticRegression,13,0,0.52,0.2,0.29,0.85,0.26,0.58
LogisticRegression,14,0,0.39,0.4,0.4,0.86,0.32,0.66
LogisticRegression,15,0,0.31,0.75,0.44,0.78,0.38,0.77
LogisticRegression,16,0,0.25,0.02,0.03,0.72,-0.01,0.5
LogisticRegression,17,0,0.35,0.73,0.47,0.55,0.2,0.61
LogisticRegression,18,0,1.0,0.06,0.11,0.68,0.2,0.53
LogisticRegression,19,0,0.41,0.88,0.56,0.53,0.25,0.62
LogisticRegression,20,0,0.9,0.69,0.78,0.76,0.54,0.78
LogisticRegression,21,0,0.86,0.18,0.29,0.46,0.18,0.56
LogisticRegression,22,0,0.84,0.31,0.45,0.52,0.23,0.6
LogisticRegression,23,0,0.72,0.16,0.26,0.42,0.07,0.52
DecisionTree,0,0,0.39,0.49,0.44,0.67,0.21,0.61
DecisionTree,1,0,0.33,0.63,0.43,0.57,0.15,0.59
DecisionTree,2,0,0.25,0.54,0.34,0.53,0.05,0.53
DecisionTree,3,0,0.37,0.49,0.42,0.7,0.23,0.63
DecisionTree,4,0,0.34,0.33,0.34,0.78,0.21,0.6
DecisionTree,5,0,0.29,0.32,0.3,0.64,0.06,0.53
DecisionTree,6,0,0.47,0.19,0.27,0.75,0.17,0.56
DecisionTree,7,0,0.36,0.51,0.42,0.52,0.04,0.52
DecisionTree,8,0,0.56,0.41,0.47,0.47,-0.05,0.48
DecisionTree,9,0,0.56,0.42,0.48,0.47,-0.04,0.48
DecisionTree,10,0,0.53,0.59,0.55,0.55,0.09,0.55
DecisionTree,11,0,0.56,0.24,0.33,0.54,0.08,0.53
DecisionTree,12,0,0.19,0.43,0.27,0.64,0.08,0.56
DecisionTree,13,0,0.24,0.22,0.23,0.78,0.1,0.55
DecisionTree,14,0,0.16,0.3,0.21,0.74,0.08,0.55
DecisionTree,15,0,0.21,0.65,0.32,0.68,0.22,0.67
DecisionTree,16,0,0.4,0.1,0.16,0.72,0.08,0.52
DecisionTree,17,0,0.37,0.43,0.4,0.65,0.15,0.58
DecisionTree,18,0,0.61,0.26,0.36,0.7,0.24,0.59
DecisionTree,19,0,0.35,0.64,0.45,0.48,0.04,0.52
DecisionTree,20,0,0.83,0.34,0.48,0.54,0.24,0.61
DecisionTree,21,0,0.86,0.34,0.49,0.55,0.27,0.62
DecisionTree,22,0,0.75,0.35,0.48,0.51,0.14,0.57
DecisionTree,23,0,0.75,0.35,0.48,0.51,0.14,0.57
AdaBoost,0,0,0.45,0.48,0.46,0.71,0.26,0.63
AdaBoost,1,0,0.36,0.74,0.49,0.59,0.25,0.64
AdaBoost,2,0,0.35,0.56,0.43,0.67,0.22,0.63
AdaBoost,3,0,0.37,0.49,0.42,0.7,0.23,0.63
AdaBoost,4,0,0.29,0.17,0.22,0.79,0.11,0.54
AdaBoost,5,0,0.5,0.32,0.39,0.75,0.26,0.61
AdaBoost,6,0,0.33,0.05,0.09,0.74,0.04,0.51
AdaBoost,7,0,0.41,0.81,0.55,0.54,0.22,0.61
AdaBoost,8,0,0.71,0.42,0.53,0.56,0.19,0.59
AdaBoost,9,0,0.63,0.41,0.5,0.51,0.07,0.53
AdaBoost,10,0,0.54,0.76,0.63,0.58,0.18,0.58
AdaBoost,11,0,0.55,0.32,0.41,0.55,0.09,0.54
AdaBoost,12,0,0.3,0.65,0.41,0.72,0.29,0.69
AdaBoost,13,0,0.26,0.12,0.16,0.81,0.08,0.53
AdaBoost,14,0,0.25,0.5,0.33,0.77,0.23,0.65
AdaBoost,15,0,0.22,0.6,0.32,0.71,0.22,0.66
AdaBoost,16,0,0.4,0.03,0.06,0.73,0.04,0.51
AdaBoost,17,0,0.34,0.35,0.34,0.64,0.1,0.55
AdaBoost,18,0,0.66,0.24,0.36,0.7,0.26,0.59
AdaBoost,19,0,0.41,0.8,0.54,0.54,0.21,0.6
AdaBoost,20,0,0.84,0.41,0.55,0.58,0.29,0.64
AdaBoost,21,0,0.82,0.28,0.42,0.51,0.21,0.59
AdaBoost,22,0,0.7,0.13,0.22,0.4,0.04,0.51
AdaBoost,23,0,0.68,0.2,0.31,0.42,0.04,0.51
KNN,0,0,0.59,0.36,0.45,0.77,0.32,0.63
KNN,1,0,0.35,0.8,0.49,0.56,0.25,0.64
KNN,2,0,0.29,0.55,0.38,0.61,0.15,0.59
KNN,3,0,0.4,0.59,0.48,0.71,0.3,0.67
KNN,4,0,0.4,0.21,0.28,0.82,0.19,0.57
KNN,5,0,0.4,0.13,0.2,0.74,0.11,0.53
KNN,6,0,0.6,0.04,0.07,0.76,0.11,0.52
KNN,7,0,0.42,0.7,0.53,0.57,0.19,0.6
KNN,8,0,0.63,0.49,0.55,0.54,0.09,0.55
KNN,9,0,0.72,0.41,0.52,0.56,0.2,0.59
KNN,10,0,0.51,0.67,0.58,0.54,0.09,0.54
KNN,11,0,0.49,0.22,0.31,0.51,0.01,0.5
KNN,12,0,0.25,0.49,0.33,0.7,0.18,0.61
KNN,13,0,0.33,0.2,0.25,0.81,0.16,0.56
KNN,14,0,0.26,0.4,0.31,0.8,0.21,0.63
KNN,15,0,0.26,0.65,0.37,0.75,0.29,0.7
KNN,16,0,1.0,0.02,0.03,0.73,0.11,0.51
KNN,17,0,0.4,0.57,0.47,0.65,0.22,0.62
KNN,18,0,0.69,0.13,0.22,0.69,0.19,0.55
KNN,19,0,0.44,0.69,0.53,0.6,0.23,0.62
KNN,20,0,0.74,0.4,0.52,0.53,0.16,0.58
KNN,21,0,0.85,0.28,0.42,0.51,0.23,0.6
KNN,22,0,0.81,0.4,0.54,0.55,0.24,0.62
KNN,23,0,0.8,0.28,0.41,0.49,0.18,0.58
RandomForest,0,0,0.46,0.21,0.29,0.73,0.17,0.56
RandomForest,1,0,0.38,0.89,0.53,0.58,0.33,0.68
RandomForest,2,0,0.35,0.57,0.43,0.67,0.23,0.63
RandomForest,3,0,0.5,0.61,0.55,0.77,0.4,0.72
RandomForest,4,0,0.43,0.2,0.27,0.82,0.2,0.57
RandomForest,5,0,0.4,0.08,0.13,0.75,0.08,0.52
RandomForest,6,0,0.71,0.07,0.12,0.76,0.17,0.53
RandomForest,7,0,0.45,0.86,0.59,0.6,0.32,0.66
RandomForest,8,0,0.66,0.42,0.52,0.54,0.13,0.56
RandomForest,9,0,0.72,0.34,0.46,0.54,0.17,0.58
RandomForest,10,0,0.52,0.61,0.56,0.55,0.1,0.55
RandomForest,11,0,0.48,0.13,0.2,0.51,-0.0,0.5
RandomForest,12,0,0.32,0.58,0.41,0.75,0.29,0.68
RandomForest,13,0,0.63,0.17,0.27,0.86,0.28,0.58
RandomForest,14,0,0.33,0.23,0.27,0.86,0.2,0.58
RandomForest,15,0,0.32,0.53,0.4,0.82,0.31,0.69
RandomForest,16,0,0.0,0.0,0.0,0.73,-0.04,0.5
RandomForest,17,0,0.38,0.33,0.36,0.68,0.14,0.57
RandomForest,18,0,0.86,0.07,0.13,0.68,0.19,0.53
RandomForest,19,0,0.39,0.77,0.52,0.52,0.16,0.58
RandomForest,20,0,0.78,0.2,0.32,0.46,0.13,0.55
RandomForest,21,0,0.87,0.19,0.3,0.46,0.19,0.57
RandomForest,22,0,0.68,0.08,0.14,0.38,0.02,0.51
RandomForest,23,0,0.75,0.16,0.26,0.42,0.09,0.53
DNN,0,0,0.69,0.66,0.67,0.83,0.56,0.78
DNN,1,0,0.69,0.66,0.67,0.83,0.56,0.78
DNN,2,0,0.57,0.64,0.6,0.81,0.48,0.75
DNN,3,0,0.57,0.64,0.6,0.81,0.48,0.75
DNN,4,0,0.26,0.68,0.38,0.63,0.23,0.65
DNN,5,0,0.53,0.68,0.6,0.77,0.45,0.74
DNN,6,0,0.53,0.68,0.6,0.77,0.45,0.74
DNN,7,0,0.69,0.73,0.71,0.8,0.56,0.78
DNN,8,0,0.61,0.98,0.75,0.62,0.2,0.55
DNN,9,0,0.61,0.98,0.75,0.62,0.2,0.55
DNN,10,0,0.57,0.78,0.66,0.61,0.24,0.61
DNN,11,0,0.57,0.78,0.66,0.61,0.24,0.61
DNN,12,0,0.25,0.77,0.37,0.61,0.25,0.67
DNN,13,0,0.25,0.77,0.37,0.61,0.25,0.67
DNN,14,0,0.33,0.75,0.46,0.8,0.4,0.78
DNN,15,0,0.33,0.75,0.46,0.8,0.4,0.78
DNN,16,0,0.56,0.4,0.47,0.75,0.32,0.64
DNN,17,0,0.56,0.4,0.47,0.75,0.32,0.64
DNN,18,0,0.63,0.57,0.6,0.74,0.41,0.7
DNN,19,0,0.63,0.57,0.6,0.74,0.41,0.7
DNN,20,0,0.83,0.84,0.83,0.79,0.53,0.77
DNN,21,0,0.83,0.84,0.83,0.79,0.53,0.77
DNN,22,0,0.74,0.92,0.82,0.74,0.4,0.67
DNN,23,0,0.74,0.92,0.82,0.74,0.4,0.67
