Defect models,pair,Iterations,Precision,Recall,F1 Score,ACC,MCC,AUC
DecisionTree,8,0,0.55,0.39,0.46,0.46,-0.06,0.47
DecisionTree,9,0,0.6,0.51,0.55,0.51,0.03,0.52
DecisionTree,10,0,0.52,0.55,0.53,0.53,0.07,0.53
DecisionTree,11,0,0.57,0.26,0.35,0.55,0.09,0.54
DecisionTree,12,0,0.21,0.46,0.29,0.65,0.11,0.57
DecisionTree,13,0,0.35,0.26,0.3,0.81,0.19,0.59
DecisionTree,14,0,0.17,0.28,0.21,0.77,0.09,0.55
DecisionTree,15,0,0.18,0.55,0.28,0.67,0.16,0.62
DecisionTree,16,0,0.64,0.12,0.2,0.74,0.19,0.55
DecisionTree,17,0,0.36,0.45,0.4,0.63,0.14,0.57
DecisionTree,18,0,0.61,0.29,0.39,0.7,0.25,0.6
DecisionTree,19,0,0.36,0.64,0.46,0.49,0.06,0.53
DecisionTree,20,0,0.84,0.64,0.72,0.69,0.41,0.71
DecisionTree,21,0,0.88,0.39,0.54,0.58,0.32,0.65
DecisionTree,22,0,0.74,0.31,0.44,0.49,0.12,0.56
DecisionTree,23,0,0.75,0.37,0.5,0.51,0.15,0.57
SVM,0,0,0.0,0.0,0.0,0.74,0.0,0.5
SVM,1,0,0.3,1.0,0.46,0.38,0.22,0.58
SVM,2,0,0.0,0.0,0.0,0.76,-0.07,0.49
SVM,3,0,0.0,0.0,0.0,0.78,0.0,0.5
SVM,4,0,1.0,0.01,0.01,0.83,0.08,0.5
SVM,5,0,0.0,0.0,0.0,0.75,-0.03,0.5
SVM,6,0,0.0,0.0,0.0,0.75,0.0,0.5
SVM,7,0,0.36,0.97,0.53,0.41,0.16,0.55
SVM,8,0,0.63,0.84,0.72,0.62,0.19,0.58
SVM,9,0,0.0,0.0,0.0,0.42,0.0,0.5
SVM,10,0,0.51,0.94,0.66,0.53,0.14,0.54
SVM,11,0,0.0,0.0,0.0,0.52,0.0,0.5
SVM,12,0,0.2,0.86,0.33,0.47,0.19,0.63
SVM,13,0,0.0,0.0,0.0,0.85,0.0,0.5
SVM,14,0,0.0,0.0,0.0,0.89,0.0,0.5
SVM,15,0,0.0,0.0,0.0,0.89,0.0,0.5
SVM,16,0,0.0,0.0,0.0,0.73,0.0,0.5
SVM,17,0,0.29,0.97,0.45,0.35,0.13,0.55
SVM,18,0,0.0,0.0,0.0,0.66,0.0,0.5
SVM,19,0,0.36,0.99,0.53,0.42,0.19,0.56
SVM,20,0,0.0,0.0,0.0,0.36,0.0,0.5
SVM,21,0,0.0,0.0,0.0,0.36,0.0,0.5
SVM,22,0,0.0,0.0,0.0,0.35,-0.07,0.5
SVM,23,0,0.0,0.0,0.0,0.36,0.0,0.5
KNN,0,0,0.59,0.36,0.45,0.77,0.32,0.63
KNN,1,0,0.35,0.8,0.49,0.56,0.25,0.64
KNN,2,0,0.29,0.55,0.38,0.61,0.15,0.59
KNN,3,0,0.4,0.59,0.48,0.71,0.3,0.67
KNN,4,0,0.4,0.21,0.28,0.82,0.19,0.57
KNN,5,0,0.4,0.13,0.2,0.74,0.11,0.53
KNN,6,0,0.6,0.04,0.07,0.76,0.11,0.52
KNN,7,0,0.42,0.7,0.53,0.57,0.19,0.6
KNN,8,0,0.63,0.49,0.55,0.54,0.09,0.55
KNN,9,0,0.72,0.41,0.52,0.56,0.2,0.59
KNN,10,0,0.51,0.67,0.58,0.54,0.09,0.54
KNN,11,0,0.49,0.22,0.31,0.51,0.01,0.5
KNN,12,0,0.25,0.49,0.33,0.7,0.18,0.61
KNN,13,0,0.33,0.2,0.25,0.81,0.16,0.56
KNN,14,0,0.26,0.4,0.31,0.8,0.21,0.63
KNN,15,0,0.26,0.65,0.37,0.75,0.29,0.7
KNN,16,0,1.0,0.02,0.03,0.73,0.11,0.51
KNN,17,0,0.4,0.57,0.47,0.65,0.22,0.62
KNN,18,0,0.69,0.13,0.22,0.69,0.19,0.55
KNN,19,0,0.44,0.69,0.53,0.6,0.23,0.62
KNN,20,0,0.74,0.4,0.52,0.53,0.16,0.58
KNN,21,0,0.85,0.28,0.42,0.51,0.23,0.6
KNN,22,0,0.81,0.4,0.54,0.55,0.24,0.62
KNN,23,0,0.8,0.28,0.41,0.49,0.18,0.58
RandomForest,0,0,0.62,0.26,0.37,0.76,0.28,0.6
RandomForest,1,0,0.39,0.84,0.53,0.62,0.33,0.69
RandomForest,2,0,0.33,0.61,0.43,0.64,0.22,0.63
RandomForest,3,0,0.44,0.47,0.46,0.75,0.29,0.65
RandomForest,4,0,0.42,0.23,0.3,0.82,0.22,0.59
RandomForest,5,0,0.54,0.2,0.29,0.76,0.21,0.57
RandomForest,6,0,1.0,0.04,0.08,0.76,0.17,0.52
RandomForest,7,0,0.48,0.81,0.61,0.64,0.35,0.68
RandomForest,8,0,0.71,0.44,0.54,0.57,0.19,0.59
RandomForest,9,0,0.71,0.33,0.45,0.53,0.15,0.57
RandomForest,10,0,0.56,0.71,0.62,0.59,0.19,0.59
RandomForest,11,0,0.55,0.2,0.3,0.54,0.07,0.53
RandomForest,12,0,0.28,0.59,0.38,0.71,0.25,0.66
RandomForest,13,0,0.43,0.13,0.2,0.84,0.17,0.55
RandomForest,14,0,0.38,0.23,0.28,0.87,0.22,0.59
RandomForest,15,0,0.31,0.53,0.39,0.81,0.3,0.69
RandomForest,16,0,0.0,0.0,0.0,0.73,-0.04,0.5
RandomForest,17,0,0.4,0.62,0.49,0.65,0.25,0.64
RandomForest,18,0,0.83,0.06,0.11,0.68,0.16,0.53
RandomForest,19,0,0.38,0.79,0.51,0.5,0.14,0.57
RandomForest,20,0,0.88,0.32,0.47,0.54,0.28,0.62
RandomForest,21,0,0.89,0.29,0.44,0.52,0.27,0.61
RandomForest,22,0,0.72,0.05,0.1,0.38,0.04,0.51
RandomForest,23,0,0.8,0.19,0.31,0.45,0.14,0.55
